gm_gmw_pk,bro_id,delivery_accountable_party,quality_regime,object_registration_time,latest_addition_time,registration_completion_time,latest_correction_time,under_review_time,deregistration_time,number_of_monitoring_tubes,nitg_code,well_code,owner,well_construction_date,well_removal_date,construction_standard,initial_function,well_head_protector,local_vertical_reference_point,ground_level_position,imbro_xml_url,delivered_location,ranking,coordinates
2241,GMW000000006775,51181584,IMBRO/A,2019-05-09T13:18:06+02:00,,,2022-04-13T14:33:38+02:00,,,2,B49D2058,GMW49D002058,51181584,01/01/2006,,onbekend,kwaliteitStand,onbekend,NAP,-0.13,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000006775,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>79286.000 381261.000</gml:pos>
</gml:Point>",0.8,(4.298791853 51.415394393)
2349,GMW000000006889,51181584,IMBRO/A,2019-05-09T13:19:35+02:00,,,,,,1,B49D2058,GMW49D002058,51181584,01/01/2014,,onbekend,kwaliteitStand,onbekend,NAP,-0.13,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000006889,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>79286.000 381261.000</gml:pos>
</gml:Point>",0.8,(4.29879186 51.41539441)
31747,GMW000000040593,20169091,IMBRO/A,2020-12-07T16:36:42+01:00,,,,,,1,B49E1377,GMW49E001377,20169091,07/02/2011,,onbekend,onbekend,onbekend,NAP,5.18,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000040593,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80051.300 389343.200</gml:pos>
</gml:Point>",1,(4.30807115 51.48813409)
71793,GMW000000083566,20169091,IMBRO/A,2024-08-14T12:55:50+02:00,2024-08-14T12:55:50+02:00,,,,,1,B49E1377,GMW49E001377,20169091,07/02/2011,,onbekend,onbekend,onbekend,NAP,5.18,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000083566,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80051.300 389343.200</gml:pos>
</gml:Point>",1,(4.308071176 51.488134078)
47257,GMW000000056492,50200097,IMBRO/A,2021-10-16T18:47:00+02:00,2021-10-16T18:47:00+02:00,2021-10-16T18:47:00+02:00,,,,1,B49G0377,GMW49G000377,27376655,14/02/1958,29/11/1976,onbekend,stand,geen,NAP,21.4,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056492,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80930.000 382470.000</gml:pos>
</gml:Point>",0.8,(4.32216683 51.42647823)
47300,GMW000000056535,50200097,IMBRO/A,2021-10-16T18:47:23+02:00,,,,,,1,B49G0377,GMW49G000377,27376655,29/11/1976,,onbekend,stand,geen,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056535,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80930.000 382470.000</gml:pos>
</gml:Point>",0.8,(4.32216683 51.42647823)
47135,GMW000000056370,50200097,IMBRO/A,2021-10-16T18:45:50+02:00,,,,,,1,B49G0397,GMW49G000397,27376655,28/04/1971,,onbekend,stand,pot,NAP,,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056370,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80930.000 381790.000</gml:pos>
</gml:Point>",0.8,(4.32230967 51.4203668)
47293,GMW000000056528,50200097,IMBRO/A,2021-10-16T18:47:19+02:00,2021-10-16T18:47:19+02:00,2021-10-16T18:47:19+02:00,,,,1,B49G0397,GMW49G000397,27376655,14/02/1958,28/04/1971,onbekend,stand,pot,NAP,21.78,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056528,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>80930.000 381790.000</gml:pos>
</gml:Point>",0.8,(4.32230967 51.4203668)
47134,GMW000000056369,50200097,IMBRO/A,2021-10-16T18:45:49+02:00,,2021-10-16T18:45:49+02:00,,,,1,B49G0422,GMW49G000422,27376655,29/08/1966,14/10/1977,onbekend,stand,geen,NAP,15.25,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056369,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>86430.000 376330.000</gml:pos>
</gml:Point>",0.8,(4.4024302 51.37198935)
47379,GMW000000056614,50200097,IMBRO/A,2021-10-16T18:48:04+02:00,2021-10-16T18:48:04+02:00,,,,,1,B49G0422,GMW49G000422,27376655,14/10/1977,,onbekend,stand,geen,NAP,15.43,https://publiek.broservices.nl/gm/gmw/v1/objects/GMW000000056614,"<gml:Point xmlns:gml=""http://www.opengis.net/gml/3.2"" srsName=""http://www.opengis.net/def/crs/EPSG/0/28992"" srsDimension=""2"">
  <gml:pos>86430.000 376330.000</gml:pos>
</gml:Point>",1,(4.4024302 51.37198934)
