Nummering Electroden,,,,,electrode afstand,,,,Meetplan en 0-meting,,,,Controlemeting:,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,,Vervolgmetingen,
BRO,,(op kabel 1),,(op kabel 2),,,,,,6/26/2023,,11:00,6/26/2023,12:00,7/2/2023,10:50,7/9/2023,11:00,7/16/2023,16:25,7/23/2023,13:25,7/30/2023,16:45,8//7/2023,8:20,8/11/2023,8:45,8/27/2023,10:15,9/5/2023,12:00,9/17/2023,13:00,10/29/2023,9:45,25-03-2024,11:15,4/26/2024,10:20,6/28/2024,9:50,2/28/2025,12:17
,kabel 1,,kabel 2,,,,,tbv,,gws (m -bkb):,,2.49,gws (m -bkb):,2.49,gws (m -bkb):,2.5,gws (m -bkb):,2.55,gws (m -bkb):,2.61,gws (m -bkb):,2.66,gws (m -bkb):,2.7,gws (m -bkb):,2.71,gws (m -bkb):,2.62,gws (m -bkb):,2.55,gws (m -bkb):,2.5,gws (m -bkb):,2.51,gws (m -bkb):,2.29,gws (m -bkb):,2.18,gws (m -bkb):,2.3,gws (m -bkb):,2.39,gws (m -bkb):,2.36
,(ondiep),,(diep),,,,,SlimFlex,1234 / 2345,,1357 / 3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,patchkast,,patchkast,,,m NAP,m,tov mv,30 cm,30 cm,60 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm,30 cm,60 cm
,,,,,bkb,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mv,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,plain,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,screen,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-31.29,o.k.buis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,23,2,,-30.49,,-32.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,24,1,,-30.79,,-33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,afstand tot o.k.b.,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,onderkant filterbuis,-31.29,,-33.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
