time,value,status_quality_control,censor_reason,censor_limit
2025-06-08T18:29:01+0200,2.995,goedgekeurd,,
2025-06-08T19:29:01+0200,2.973,goedgekeurd,,
2025-06-08T20:29:01+0200,2.957,goedgekeurd,,
2025-06-08T21:29:01+0200,2.941,goedgekeurd,,
2025-06-08T22:29:01+0200,2.921,goedgekeurd,,
2025-06-08T23:29:01+0200,2.915,goedgekeurd,,
2025-06-09T00:29:01+0200,2.912,goedgekeurd,,
2025-06-09T01:29:01+0200,2.921,goedgekeurd,,
2025-06-09T02:29:01+0200,3.620,goedgekeurd,,
2025-06-09T03:29:01+0200,3.483,goedgekeurd,,
2025-06-09T04:29:01+0200,3.310,goedgekeurd,,
2025-06-09T05:29:01+0200,3.205,goedgekeurd,,
2025-06-09T06:29:01+0200,3.145,goedgekeurd,,
2025-06-09T07:29:01+0200,3.123,goedgekeurd,,
2025-06-09T08:29:01+0200,3.113,goedgekeurd,,
2025-06-09T09:29:01+0200,3.126,goedgekeurd,,
2025-06-09T10:29:01+0200,3.173,goedgekeurd,,
2025-06-09T11:29:01+0200,3.234,goedgekeurd,,
2025-06-09T12:29:01+0200,3.301,goedgekeurd,,
2025-06-09T13:29:01+0200,3.401,goedgekeurd,,
2025-06-09T14:29:01+0200,3.448,goedgekeurd,,
2025-06-09T15:29:01+0200,3.479,goedgekeurd,,
2025-06-09T16:29:01+0200,3.508,goedgekeurd,,
2025-06-09T17:29:01+0200,3.531,goedgekeurd,,
2025-06-09T18:29:01+0200,3.557,goedgekeurd,,
2025-06-09T19:29:01+0200,3.581,goedgekeurd,,
2025-06-09T20:29:01+0200,3.600,goedgekeurd,,
2025-06-09T21:29:01+0200,3.618,goedgekeurd,,
2025-06-09T22:29:01+0200,3.640,goedgekeurd,,
2025-06-09T23:29:01+0200,3.666,goedgekeurd,,
2025-06-10T00:29:08+0200,3.683,goedgekeurd,,
2025-06-10T01:29:08+0200,3.695,goedgekeurd,,
2025-06-10T02:29:08+0200,3.710,goedgekeurd,,
2025-06-10T03:29:08+0200,3.716,goedgekeurd,,
2025-06-10T04:29:09+0200,3.721,goedgekeurd,,
2025-06-10T05:29:09+0200,3.726,goedgekeurd,,
2025-06-10T06:29:09+0200,3.735,goedgekeurd,,
2025-06-10T07:29:09+0200,3.736,goedgekeurd,,
2025-06-10T08:29:09+0200,3.740,goedgekeurd,,
2025-06-10T09:29:09+0200,3.743,goedgekeurd,,
