objectid,unicode,x,y,wvp,krw_lichaam,krw_code,grvl150mg,grvl1000mg,filter_zoet_zout,pmg_kwantiteit,krw_kwantiteit,krw_doel,verdroging,project,project_naam,kantonnier,vervanger,logger,evid_terrbeh,evid_terrbeh_txt,vergunning,iwaco,calibratie,lmg_rivm,pmg_kwal_2006,krw_kwal_2006,bestrijd_2006,pmg_kwal_2015,krw_kwal_2015,p2_bestrijd,p3_medisch,p4_industrie,onderhoudsronde,foto,opmerking,getal2,pmg_kwal_2012,krw_kwal_2012,bestrijd_2012,wrsch_verwijderd,em_slimflex_2015,tecontr_aanwezigheidput,veldlabel,pmg_kwal_2017,krw_kwal_2017,perc2bm_2017,perc3en4_2017,bronhouder,nitg_nr,buis_nr,krw_kwantiteit2019,InwinMethLoc
5520,B49D0154-2,74705,383170,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0154,"2",0,9
7435,B42B0156-1,37140,412572,,,,,,,,,,0,1,Voorhoedeproject,,,1,1,Evides,,,,,,,,,,,,,,"0",,0,,,,,,"7",,,,,,zeeland,B42B0156,"1",,9
5521,B49D0154-3,74705,383170,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0154,"3",0,9
5522,B49D0234-1,70000,380920,DKL,,,-25,-75,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0234,"1",0,9
5523,B49D0234-2,70000,380920,WVP1a,,,-25,-75,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0234,"2",0,9
5524,B49D0235-1,71670,380440,DKL,,,94,44,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0235,"1",0,9
5525,B49D0235-2,71670,380440,WVP1a,,,94,44,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0235,"2",0,9
5526,B49D0327-1,74940,383040,WVP1b,,,29,-21,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0327,"1",0,9
5527,B49D0327-2,74940,383040,WVP1b,,,29,-21,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0327,"2",0,9
5528,B49D0327-3,74940,383040,WVP2,,,29,-21,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0327,"3",0,9
5529,B49D0328-1,75065,383350,WVP1b,,,35,-15,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0328,"1",0,9
5530,B49D0328-2,75065,383350,WVP1b,,,35,-15,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0328,"2",0,9
5531,B49D0328-3,75065,383350,WVP2,,,35,-15,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0328,"3",0,9
5532,B49D0329-1,75075,383500,WVP1b,,,-291,-291,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0329,"1",0,9
5533,B49D0329-2,75075,383500,WVP1b,,,-291,-291,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0329,"2",0,9
5534,B49D0329-3,75075,383500,WVP2,,,-291,-291,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0329,"3",0,9
5535,B49D0330-1,75150,383500,,,,8,-42,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0330,"1",0,9
5536,B49D0330-2,75150,383500,WVP1b,,,8,-42,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0330,"2",0,9
