time,value,status_quality_control,censor_reason,censor_limit
2025-06-07T07:06:40+0200,0.275,afgekeurd,,
2025-06-07T08:06:40+0200,0.277,afgekeurd,,
2025-06-07T09:06:41+0200,0.278,afgekeurd,,
2025-06-07T10:06:41+0200,0.275,afgekeurd,,
2025-06-07T11:06:41+0200,0.276,afgekeurd,,
2025-06-07T12:06:41+0200,0.275,afgekeurd,,
2025-06-07T13:06:41+0200,0.278,afgekeurd,,
2025-06-07T14:06:42+0200,0.278,afgekeurd,,
2025-06-07T15:06:42+0200,0.275,afgekeurd,,
2025-06-07T16:06:42+0200,0.277,afgekeurd,,
2025-06-07T17:06:42+0200,0.278,afgekeurd,,
2025-06-07T18:06:42+0200,0.277,afgekeurd,,
2025-06-07T19:06:41+0200,0.279,afgekeurd,,
2025-06-07T20:06:42+0200,0.275,afgekeurd,,
2025-06-07T21:06:42+0200,0.274,afgekeurd,,
2025-06-07T22:06:42+0200,0.278,afgekeurd,,
2025-06-07T23:06:42+0200,0.275,afgekeurd,,
2025-06-08T00:06:42+0200,0.275,afgekeurd,,
2025-06-08T01:06:42+0200,0.275,afgekeurd,,
2025-06-08T02:06:43+0200,0.277,afgekeurd,,
2025-06-08T03:06:43+0200,0.277,afgekeurd,,
2025-06-08T04:06:43+0200,0.278,afgekeurd,,
2025-06-08T05:06:43+0200,0.282,afgekeurd,,
2025-06-08T06:06:44+0200,0.278,afgekeurd,,
2025-06-08T07:06:43+0200,0.277,afgekeurd,,
2025-06-08T08:06:44+0200,0.279,afgekeurd,,
2025-06-08T09:06:44+0200,0.281,afgekeurd,,
2025-06-08T10:06:44+0200,0.277,afgekeurd,,
2025-06-08T11:06:44+0200,0.282,afgekeurd,,
2025-06-08T12:06:44+0200,0.279,afgekeurd,,
2025-06-08T13:06:44+0200,0.279,afgekeurd,,
2025-06-08T14:06:44+0200,0.277,afgekeurd,,
2025-06-08T15:06:44+0200,0.282,afgekeurd,,
2025-06-08T16:06:44+0200,0.279,afgekeurd,,
2025-06-08T17:06:45+0200,0.284,afgekeurd,,
2025-06-08T18:06:45+0200,0.276,afgekeurd,,
2025-06-08T19:06:45+0200,0.278,afgekeurd,,
2025-06-08T20:06:44+0200,0.280,afgekeurd,,
2025-06-08T21:06:44+0200,0.280,afgekeurd,,
2025-06-08T22:06:45+0200,0.279,afgekeurd,,
2025-06-08T23:06:45+0200,0.275,afgekeurd,,
2025-06-09T00:06:45+0200,0.276,afgekeurd,,
2025-06-09T01:06:45+0200,0.280,afgekeurd,,
2025-06-09T02:06:45+0200,0.279,afgekeurd,,
2025-06-09T03:06:45+0200,0.278,afgekeurd,,
2025-06-09T04:06:45+0200,0.278,afgekeurd,,
2025-06-09T05:06:46+0200,0.277,afgekeurd,,
2025-06-09T06:06:46+0200,0.279,afgekeurd,,
2025-06-09T07:06:46+0200,0.277,afgekeurd,,
2025-06-09T08:06:46+0200,0.279,afgekeurd,,
2025-06-09T09:06:47+0200,0.277,afgekeurd,,
2025-06-09T10:06:46+0200,0.278,afgekeurd,,
2025-06-09T11:06:46+0200,0.277,afgekeurd,,
2025-06-09T12:06:46+0200,0.277,afgekeurd,,
2025-06-09T13:06:46+0200,0.276,afgekeurd,,
2025-06-09T14:06:47+0200,0.276,afgekeurd,,
2025-06-09T15:06:47+0200,0.278,afgekeurd,,
2025-06-09T16:06:47+0200,0.279,afgekeurd,,
2025-06-09T17:06:47+0200,0.275,afgekeurd,,
2025-06-09T18:06:47+0200,0.277,afgekeurd,,
2025-06-09T19:06:47+0200,0.275,afgekeurd,,
2025-06-09T20:06:47+0200,0.278,afgekeurd,,
2025-06-09T21:06:48+0200,0.277,afgekeurd,,
2025-06-09T22:06:48+0200,0.277,afgekeurd,,
2025-06-09T23:06:48+0200,0.279,afgekeurd,,
2025-06-10T00:06:48+0200,0.279,afgekeurd,,
2025-06-10T01:06:48+0200,0.276,afgekeurd,,
2025-06-10T02:06:48+0200,0.278,afgekeurd,,
2025-06-10T03:06:48+0200,0.277,afgekeurd,,
2025-06-10T04:06:49+0200,0.276,afgekeurd,,
2025-06-10T05:06:49+0200,0.274,afgekeurd,,
2025-06-10T06:06:49+0200,0.277,afgekeurd,,
2025-06-10T07:06:49+0200,0.276,afgekeurd,,
2025-06-10T08:06:49+0200,0.278,afgekeurd,,
2025-06-10T09:06:49+0200,0.278,afgekeurd,,
2025-06-10T10:06:49+0200,0.276,afgekeurd,,
2025-06-10T11:06:49+0200,0.277,afgekeurd,,
2025-06-10T12:06:49+0200,0.278,afgekeurd,,
2025-06-10T13:06:49+0200,0.279,afgekeurd,,
2025-06-10T14:06:49+0200,0.279,afgekeurd,,
2025-06-10T15:06:50+0200,0.278,afgekeurd,,
2025-06-10T16:06:50+0200,0.281,afgekeurd,,
2025-06-10T17:06:50+0200,0.279,afgekeurd,,
2025-06-10T18:06:50+0200,0.282,afgekeurd,,
2025-06-10T19:06:50+0200,0.280,afgekeurd,,
2025-06-10T20:06:50+0200,0.278,afgekeurd,,
2025-06-10T21:06:50+0200,0.277,afgekeurd,,
2025-06-10T22:06:51+0200,0.280,afgekeurd,,
2025-06-10T23:06:51+0200,0.277,afgekeurd,,
2025-06-11T00:06:51+0200,0.280,afgekeurd,,
2025-06-11T01:06:51+0200,0.280,afgekeurd,,
2025-06-11T02:06:51+0200,0.280,afgekeurd,,
2025-06-11T03:06:51+0200,0.281,afgekeurd,,
2025-06-11T04:06:51+0200,0.279,afgekeurd,,
2025-06-11T05:06:52+0200,0.280,afgekeurd,,
2025-06-11T06:06:52+0200,0.278,afgekeurd,,
2025-06-11T07:06:52+0200,0.277,afgekeurd,,
2025-06-11T08:06:52+0200,0.278,afgekeurd,,
2025-06-11T09:06:52+0200,0.281,afgekeurd,,
2025-06-11T10:06:52+0200,0.276,afgekeurd,,
2025-06-11T11:06:52+0200,0.281,afgekeurd,,
2025-06-11T12:06:52+0200,0.276,afgekeurd,,
2025-06-11T13:06:52+0200,0.280,afgekeurd,,
2025-06-11T14:06:52+0200,0.279,afgekeurd,,
2025-06-11T15:06:53+0200,0.277,afgekeurd,,
2025-06-11T16:06:52+0200,0.277,afgekeurd,,
2025-06-11T17:06:52+0200,0.278,afgekeurd,,
2025-06-11T18:06:53+0200,0.279,afgekeurd,,
2025-06-11T19:06:52+0200,0.278,afgekeurd,,
2025-06-11T20:06:53+0200,0.274,afgekeurd,,
2025-06-11T21:06:53+0200,0.278,afgekeurd,,
2025-06-11T22:06:53+0200,0.278,afgekeurd,,
2025-06-11T23:06:53+0200,0.281,afgekeurd,,
2025-06-12T00:06:53+0200,0.279,afgekeurd,,
2025-06-12T01:06:53+0200,0.280,afgekeurd,,
2025-06-12T02:06:53+0200,0.279,afgekeurd,,
2025-06-12T03:06:53+0200,0.278,afgekeurd,,
2025-06-12T04:06:54+0200,0.279,afgekeurd,,
2025-06-12T05:06:54+0200,0.276,afgekeurd,,
2025-06-12T06:06:54+0200,0.279,afgekeurd,,
2025-06-12T07:06:54+0200,0.277,afgekeurd,,
2025-06-12T08:06:54+0200,0.278,afgekeurd,,
2025-06-12T09:06:54+0200,0.279,afgekeurd,,
2025-06-12T10:06:55+0200,0.277,afgekeurd,,
2025-06-12T11:06:55+0200,0.275,afgekeurd,,
2025-06-12T12:06:55+0200,0.276,afgekeurd,,
2025-06-12T13:06:54+0200,0.277,afgekeurd,,
2025-06-12T14:06:55+0200,0.278,afgekeurd,,
2025-06-12T15:06:55+0200,0.274,afgekeurd,,
2025-06-12T16:06:55+0200,0.278,afgekeurd,,
2025-06-12T17:06:55+0200,0.278,afgekeurd,,
2025-06-12T18:06:55+0200,0.278,afgekeurd,,
2025-06-12T19:06:55+0200,0.279,afgekeurd,,
2025-06-12T20:06:55+0200,0.279,afgekeurd,,
2025-06-12T21:06:56+0200,0.280,afgekeurd,,
2025-06-12T22:06:56+0200,0.277,afgekeurd,,
2025-06-12T23:06:56+0200,0.278,afgekeurd,,
2025-06-13T00:06:56+0200,0.282,afgekeurd,,
2025-06-13T01:06:56+0200,0.281,afgekeurd,,
2025-06-13T02:06:56+0200,0.278,afgekeurd,,
2025-06-13T03:06:56+0200,0.276,afgekeurd,,
2025-06-13T04:06:56+0200,0.275,afgekeurd,,
2025-06-13T05:06:56+0200,0.279,afgekeurd,,
2025-06-13T06:06:57+0200,0.279,afgekeurd,,
2025-06-13T07:06:57+0200,0.278,afgekeurd,,
2025-06-13T08:06:57+0200,0.280,afgekeurd,,
2025-06-13T09:06:57+0200,0.279,afgekeurd,,
2025-06-13T10:06:57+0200,0.280,afgekeurd,,
2025-06-13T11:06:57+0200,0.280,afgekeurd,,
2025-06-13T12:06:57+0200,0.281,afgekeurd,,
2025-06-13T13:06:57+0200,0.280,afgekeurd,,
2025-06-13T14:06:57+0200,0.277,afgekeurd,,
2025-06-13T15:06:57+0200,0.279,afgekeurd,,
2025-06-13T16:06:58+0200,0.278,afgekeurd,,
2025-06-13T17:06:58+0200,0.281,afgekeurd,,
2025-06-13T18:06:58+0200,0.277,afgekeurd,,
2025-06-13T19:06:58+0200,0.278,afgekeurd,,
2025-06-13T20:06:58+0200,0.279,afgekeurd,,
2025-06-13T21:06:58+0200,0.277,afgekeurd,,
2025-06-13T22:06:58+0200,0.278,afgekeurd,,
2025-06-13T23:06:58+0200,0.280,afgekeurd,,
2025-06-14T00:06:58+0200,0.278,afgekeurd,,
2025-06-14T01:06:58+0200,0.278,afgekeurd,,
2025-06-14T02:06:58+0200,0.281,afgekeurd,,
2025-06-14T03:06:59+0200,0.275,afgekeurd,,
2025-06-14T04:06:59+0200,0.282,afgekeurd,,
2025-06-14T05:06:59+0200,0.277,afgekeurd,,
2025-06-14T06:06:59+0200,0.273,afgekeurd,,
2025-06-14T07:06:59+0200,0.282,afgekeurd,,
2025-06-14T08:06:59+0200,0.277,afgekeurd,,
2025-06-14T09:06:59+0200,0.280,afgekeurd,,
2025-06-14T10:07:00+0200,0.277,afgekeurd,,
2025-06-14T11:07:00+0200,0.280,afgekeurd,,
2025-06-14T12:07:00+0200,0.282,afgekeurd,,
2025-06-14T13:06:59+0200,0.280,afgekeurd,,
2025-06-14T14:07:00+0200,0.280,afgekeurd,,
2025-06-14T15:07:00+0200,0.283,afgekeurd,,
2025-06-14T16:07:00+0200,0.279,afgekeurd,,
2025-06-14T17:07:01+0200,0.278,afgekeurd,,
2025-06-14T18:07:00+0200,0.279,afgekeurd,,
2025-06-14T19:07:00+0200,0.280,afgekeurd,,
2025-06-14T20:07:01+0200,0.279,afgekeurd,,
2025-06-14T21:07:01+0200,0.279,afgekeurd,,
2025-06-14T22:07:01+0200,0.279,afgekeurd,,
2025-06-14T23:07:01+0200,0.278,afgekeurd,,
2025-06-15T00:07:01+0200,0.280,afgekeurd,,
2025-06-15T01:07:01+0200,0.279,afgekeurd,,
2025-06-15T02:07:02+0200,0.280,afgekeurd,,
2025-06-15T03:07:01+0200,0.277,afgekeurd,,
2025-06-15T04:07:02+0200,0.279,afgekeurd,,
2025-06-15T05:07:02+0200,0.279,afgekeurd,,
2025-06-15T06:07:02+0200,0.281,afgekeurd,,
2025-06-15T07:07:01+0200,0.280,afgekeurd,,
2025-06-15T08:07:01+0200,0.281,afgekeurd,,
2025-06-15T09:07:01+0200,0.278,afgekeurd,,
2025-06-15T10:07:02+0200,0.282,afgekeurd,,
2025-06-15T11:07:02+0200,0.280,afgekeurd,,
2025-06-15T12:07:02+0200,0.280,afgekeurd,,
2025-06-15T13:07:02+0200,0.278,afgekeurd,,
2025-06-15T14:07:02+0200,0.280,afgekeurd,,
2025-06-15T15:07:02+0200,0.283,afgekeurd,,
2025-06-15T16:07:02+0200,0.281,afgekeurd,,
2025-06-15T17:07:02+0200,0.280,afgekeurd,,
2025-06-15T18:07:02+0200,0.280,afgekeurd,,
