time,value,status_quality_control,censor_reason,censor_limit
2025-06-09T11:10:13+0200,0.492,goedgekeurd,,
2025-06-09T12:10:14+0200,0.497,goedgekeurd,,
2025-06-09T13:10:14+0200,0.497,goedgekeurd,,
2025-06-09T14:10:14+0200,0.501,goedgekeurd,,
2025-06-09T15:10:14+0200,0.506,goedgekeurd,,
2025-06-09T16:10:14+0200,0.508,goedgekeurd,,
2025-06-09T17:10:15+0200,0.512,goedgekeurd,,
2025-06-09T18:10:14+0200,0.515,goedgekeurd,,
2025-06-09T19:10:15+0200,0.516,goedgekeurd,,
2025-06-09T20:10:15+0200,0.517,goedgekeurd,,
2025-06-09T21:10:15+0200,0.519,goedgekeurd,,
2025-06-09T22:10:14+0200,0.524,goedgekeurd,,
2025-06-09T23:10:15+0200,0.524,goedgekeurd,,
2025-06-10T00:10:15+0200,0.526,goedgekeurd,,
2025-06-10T01:10:15+0200,0.526,goedgekeurd,,
2025-06-10T02:10:15+0200,0.534,goedgekeurd,,
2025-06-10T03:10:16+0200,0.537,goedgekeurd,,
2025-06-10T04:10:16+0200,0.539,goedgekeurd,,
2025-06-10T05:10:16+0200,0.544,goedgekeurd,,
2025-06-10T06:10:17+0200,0.543,goedgekeurd,,
2025-06-10T07:10:17+0200,0.542,goedgekeurd,,
2025-06-10T08:10:17+0200,0.538,goedgekeurd,,
2025-06-10T09:10:17+0200,0.540,goedgekeurd,,
2025-06-10T10:10:17+0200,0.540,goedgekeurd,,
2025-06-10T11:10:17+0200,0.534,goedgekeurd,,
2025-06-10T12:10:17+0200,0.536,goedgekeurd,,
2025-06-10T13:10:18+0200,0.533,goedgekeurd,,
2025-06-10T14:10:17+0200,0.534,goedgekeurd,,
2025-06-10T15:10:18+0200,0.535,goedgekeurd,,
2025-06-10T16:10:18+0200,0.537,goedgekeurd,,
2025-06-10T17:10:18+0200,0.527,goedgekeurd,,
2025-06-10T18:10:18+0200,0.523,goedgekeurd,,
2025-06-10T19:10:18+0200,0.520,goedgekeurd,,
2025-06-10T20:10:19+0200,0.515,goedgekeurd,,
2025-06-10T21:10:19+0200,0.515,goedgekeurd,,
2025-06-10T22:10:18+0200,0.514,goedgekeurd,,
2025-06-10T23:10:19+0200,0.509,goedgekeurd,,
2025-06-11T00:10:19+0200,0.511,goedgekeurd,,
2025-06-11T01:10:19+0200,0.512,goedgekeurd,,
2025-06-11T02:10:19+0200,0.511,goedgekeurd,,
2025-06-11T03:10:20+0200,0.513,goedgekeurd,,
2025-06-11T04:10:20+0200,0.511,goedgekeurd,,
2025-06-11T05:10:20+0200,0.512,goedgekeurd,,
2025-06-11T06:10:20+0200,0.512,goedgekeurd,,
2025-06-11T07:10:20+0200,0.510,goedgekeurd,,
2025-06-11T08:10:20+0200,0.512,goedgekeurd,,
2025-06-11T09:10:21+0200,0.508,goedgekeurd,,
2025-06-11T10:10:21+0200,0.508,goedgekeurd,,
2025-06-11T11:10:21+0200,0.510,goedgekeurd,,
2025-06-11T12:10:21+0200,0.513,goedgekeurd,,
2025-06-11T13:10:22+0200,0.516,goedgekeurd,,
2025-06-11T14:10:22+0200,0.518,goedgekeurd,,
2025-06-11T15:10:21+0200,0.521,goedgekeurd,,
2025-06-11T16:10:21+0200,0.526,goedgekeurd,,
2025-06-11T17:10:22+0200,0.530,goedgekeurd,,
2025-06-11T18:10:22+0200,0.536,goedgekeurd,,
2025-06-11T19:10:22+0200,0.532,goedgekeurd,,
2025-06-11T20:10:22+0200,0.532,goedgekeurd,,
2025-06-11T21:10:22+0200,0.536,goedgekeurd,,
2025-06-11T22:10:23+0200,0.528,goedgekeurd,,
2025-06-11T23:10:22+0200,0.530,goedgekeurd,,
2025-06-12T00:10:22+0200,0.529,goedgekeurd,,
2025-06-12T01:10:22+0200,0.532,goedgekeurd,,
2025-06-12T02:10:23+0200,0.531,goedgekeurd,,
2025-06-12T03:10:22+0200,0.536,goedgekeurd,,
2025-06-12T04:10:23+0200,0.534,goedgekeurd,,
2025-06-12T05:10:22+0200,0.535,goedgekeurd,,
2025-06-12T06:10:23+0200,0.533,goedgekeurd,,
2025-06-12T07:10:23+0200,0.532,goedgekeurd,,
2025-06-12T08:10:23+0200,0.533,goedgekeurd,,
2025-06-12T09:10:23+0200,0.534,goedgekeurd,,
2025-06-12T10:10:22+0200,0.540,goedgekeurd,,
2025-06-12T11:10:23+0200,0.544,goedgekeurd,,
2025-06-12T12:10:23+0200,0.540,goedgekeurd,,
2025-06-12T13:10:23+0200,0.546,goedgekeurd,,
2025-06-12T14:10:23+0200,0.552,goedgekeurd,,
2025-06-12T15:10:23+0200,0.548,goedgekeurd,,
2025-06-12T16:10:24+0200,0.548,goedgekeurd,,
2025-06-12T17:10:24+0200,0.553,goedgekeurd,,
2025-06-12T18:10:24+0200,0.550,goedgekeurd,,
2025-06-12T19:10:24+0200,0.552,goedgekeurd,,
2025-06-12T20:10:27+0200,0.548,goedgekeurd,,
2025-06-12T21:10:26+0200,0.543,goedgekeurd,,
2025-06-12T22:10:27+0200,0.539,goedgekeurd,,
2025-06-12T23:10:27+0200,0.537,goedgekeurd,,
2025-06-13T00:10:27+0200,0.536,goedgekeurd,,
2025-06-13T01:10:27+0200,0.536,goedgekeurd,,
2025-06-13T02:10:27+0200,0.535,goedgekeurd,,
2025-06-13T03:10:28+0200,0.532,goedgekeurd,,
2025-06-13T04:10:27+0200,0.532,goedgekeurd,,
2025-06-13T05:10:28+0200,0.529,goedgekeurd,,
2025-06-13T06:10:28+0200,0.526,goedgekeurd,,
2025-06-13T07:10:28+0200,0.524,goedgekeurd,,
2025-06-13T08:10:29+0200,0.521,goedgekeurd,,
2025-06-13T09:10:28+0200,0.523,goedgekeurd,,
2025-06-13T10:10:28+0200,0.524,goedgekeurd,,
2025-06-13T11:10:28+0200,0.525,goedgekeurd,,
2025-06-13T12:10:28+0200,0.526,goedgekeurd,,
2025-06-13T13:10:29+0200,0.530,goedgekeurd,,
2025-06-13T14:10:29+0200,0.533,goedgekeurd,,
2025-06-13T15:10:29+0200,0.536,goedgekeurd,,
2025-06-13T16:10:29+0200,0.538,goedgekeurd,,
2025-06-13T17:10:29+0200,0.541,goedgekeurd,,
2025-06-13T18:10:29+0200,0.540,goedgekeurd,,
2025-06-13T19:10:29+0200,0.544,goedgekeurd,,
2025-06-13T20:10:29+0200,0.546,goedgekeurd,,
2025-06-13T21:10:29+0200,0.548,goedgekeurd,,
2025-06-13T22:10:29+0200,0.546,goedgekeurd,,
2025-06-13T23:10:29+0200,0.545,goedgekeurd,,
2025-06-14T00:10:29+0200,0.546,goedgekeurd,,
2025-06-14T01:10:29+0200,0.548,goedgekeurd,,
2025-06-14T02:10:29+0200,0.551,goedgekeurd,,
2025-06-14T03:10:29+0200,0.551,goedgekeurd,,
2025-06-14T04:10:29+0200,0.536,goedgekeurd,,
2025-06-14T05:10:29+0200,0.543,goedgekeurd,,
2025-06-14T06:10:29+0200,0.543,goedgekeurd,,
2025-06-14T07:10:29+0200,0.538,goedgekeurd,,
2025-06-14T08:10:29+0200,0.541,goedgekeurd,,
2025-06-14T09:10:29+0200,0.535,goedgekeurd,,
2025-06-14T10:10:29+0200,0.535,goedgekeurd,,
2025-06-14T11:10:29+0200,0.539,goedgekeurd,,
2025-06-14T12:10:29+0200,0.536,goedgekeurd,,
2025-06-14T13:10:29+0200,0.537,goedgekeurd,,
2025-06-14T14:10:29+0200,0.536,goedgekeurd,,
2025-06-14T15:10:29+0200,0.533,goedgekeurd,,
2025-06-14T16:10:29+0200,0.529,goedgekeurd,,
2025-06-14T17:10:29+0200,0.530,goedgekeurd,,
2025-06-14T18:10:29+0200,0.535,goedgekeurd,,
2025-06-14T19:10:29+0200,0.536,goedgekeurd,,
2025-06-14T20:10:29+0200,0.534,goedgekeurd,,
2025-06-14T21:10:29+0200,0.533,goedgekeurd,,
2025-06-14T22:10:29+0200,0.524,goedgekeurd,,
2025-06-14T23:10:29+0200,0.523,goedgekeurd,,
2025-06-15T00:10:29+0200,0.526,goedgekeurd,,
2025-06-15T01:10:29+0200,0.535,goedgekeurd,,
2025-06-15T02:10:29+0200,0.534,goedgekeurd,,
2025-06-15T03:10:29+0200,0.535,goedgekeurd,,
2025-06-15T04:10:29+0200,0.530,goedgekeurd,,
2025-06-15T05:10:35+0200,0.527,goedgekeurd,,
2025-06-15T06:10:35+0200,0.529,goedgekeurd,,
